,url,group,duration,nbytes,throughput,test_type,kerchunk,iteration,file_type
194,s3://mast/test/perf/data/30420.nc,efm,0.4613308906555176,4079280,8842416.76121805,load,True,8,nc
195,s3://mast/test/perf/data/30420.nc,efm,8.647619009017944,4079236,471717.82148890634,load,False,8,nc
196,s3://mast/test/perf/data/30420.nc,rbb,0.11838102340698242,82004208,692714133.0589577,open,True,8,nc
197,s3://mast/test/perf/data/30420.nc,rbb,6.680330038070679,82004208,12275472.548910672,open,False,8,nc
198,s3://mast/test/perf/data/30420.nc,rbb,19.915921211242676,82004208,4117520.205578442,load,True,8,nc
199,s3://mast/test/perf/data/30420.nc,rbb,27.539610862731934,82004208,2977682.1614779043,load,False,8,nc
200,s3://mast/test/perf/data/30420.zarr,efm,1.224139928817749,4079236,3332328.1954699806,open,True,8,zarr
201,s3://mast/test/perf/data/30420.zarr,efm,1.155513048171997,4079236,3530237.9375579404,open,False,8,zarr
202,s3://mast/test/perf/data/30420.zarr,efm,2.0822110176086426,4079236,1959088.663686393,load,True,8,zarr
203,s3://mast/test/perf/data/30420.zarr,efm,1.3078629970550537,4079236,3119008.6493656547,load,False,8,zarr
204,s3://mast/test/perf/data/30420.zarr,rbb,0.17702031135559082,82004208,463247450.9395335,open,True,8,zarr
205,s3://mast/test/perf/data/30420.zarr,rbb,0.1266040802001953,82004208,647721683.7745605,open,False,8,zarr
206,s3://mast/test/perf/data/30420.zarr,rbb,13.773680925369263,82004208,5953688.664949346,load,True,8,zarr
207,s3://mast/test/perf/data/30420.zarr,rbb,14.336874961853027,82004208,5719810.503906427,load,False,8,zarr
208,s3://mast/test/perf/data/30420.h5,efm,0.11696290969848633,4079280,34876697.32666365,open,True,8,h5
209,s3://mast/test/perf/data/30420.h5,efm,8.807552099227905,4079236,463152.0715452364,open,False,8,h5
210,s3://mast/test/perf/data/30420.h5,efm,0.40956997871398926,4079280,9959909.690667639,load,True,8,h5
211,s3://mast/test/perf/data/30420.h5,efm,8.695221900939941,4079236,469135.3534702824,load,False,8,h5
212,s3://mast/test/perf/data/30420.h5,rbb,0.10080218315124512,82004208,813516190.1896474,open,True,8,h5
213,s3://mast/test/perf/data/30420.h5,rbb,6.051854133605957,82004208,13550261.818874728,open,False,8,h5
214,s3://mast/test/perf/data/30420.h5,rbb,19.33087706565857,82004208,4242135.9217932755,load,True,8,h5
215,s3://mast/test/perf/data/30420.h5,rbb,26.87938904762268,82004208,3050821.1274710046,load,False,8,h5
216,s3://mast/test/perf/data/30420.nc,efm,0.08317017555236816,4079280,49047389.558910795,open,True,9,nc
217,s3://mast/test/perf/data/30420.nc,efm,8.803279876708984,4079236,463376.8387612573,open,False,9,nc
218,s3://mast/test/perf/data/30420.nc,efm,0.45320916175842285,4079280,9000877.175943779,load,True,9,nc
219,s3://mast/test/perf/data/30420.nc,efm,8.709573030471802,4079236,468362.33943135396,load,False,9,nc
220,s3://mast/test/perf/data/30420.nc,rbb,0.09160184860229492,82004208,895224378.6698594,open,True,9,nc
221,s3://mast/test/perf/data/30420.nc,rbb,6.125909805297852,82004208,13386453.703428764,open,False,9,nc
222,s3://mast/test/perf/data/30420.nc,rbb,19.555151224136353,82004208,4193483.7046304503,load,True,9,nc
223,s3://mast/test/perf/data/30420.nc,rbb,27.054883241653442,82004208,3031031.672454128,load,False,9,nc
224,s3://mast/test/perf/data/30420.zarr,efm,1.1893088817596436,4079236,3429921.412816291,open,True,9,zarr
225,s3://mast/test/perf/data/30420.zarr,efm,0.8799328804016113,4079236,4635849.041279365,open,False,9,zarr
226,s3://mast/test/perf/data/30420.zarr,efm,1.2780749797821045,4079236,3191703.197801007,load,True,9,zarr
227,s3://mast/test/perf/data/30420.zarr,efm,1.2661969661712646,4079236,3221644.1114488076,load,False,9,zarr
228,s3://mast/test/perf/data/30420.zarr,rbb,0.16023707389831543,82004208,511768007.2717685,open,True,9,zarr
229,s3://mast/test/perf/data/30420.zarr,rbb,0.13180184364318848,82004208,622178003.9890814,open,False,9,zarr
230,s3://mast/test/perf/data/30420.zarr,rbb,13.570888996124268,82004208,6042655.571305588,load,True,9,zarr
231,s3://mast/test/perf/data/30420.zarr,rbb,14.290501117706299,82004208,5738371.756494576,load,False,9,zarr
232,s3://mast/test/perf/data/30420.h5,efm,0.10799980163574219,4079280,37771180.48566837,open,True,9,h5
233,s3://mast/test/perf/data/30420.h5,efm,8.73928189277649,4079236,466770.1591559507,open,False,9,h5
234,s3://mast/test/perf/data/30420.h5,efm,0.5031609535217285,4079280,8107306.362801541,load,True,9,h5
235,s3://mast/test/perf/data/30420.h5,efm,8.975633144378662,4079236,454478.9135633044,load,False,9,h5
236,s3://mast/test/perf/data/30420.h5,rbb,0.18947100639343262,82004208,432806103.4822392,open,True,9,h5
237,s3://mast/test/perf/data/30420.h5,rbb,6.16519021987915,82004208,13301164.291019628,open,False,9,h5
238,s3://mast/test/perf/data/30420.h5,rbb,19.707048892974854,82004208,4161161.239582288,load,True,9,h5
239,s3://mast/test/perf/data/30420.h5,rbb,26.960049867630005,82004208,3041693.4836036637,load,False,9,h5
